id,identifier,picture,height,weight,type1,type2
699,aurorus,699.png,27,2250,rock,ice
700,sylveon,700.png,10,235,fairy,
701,hawlucha,701.png,8,215,fighting,flying
702,dedenne,702.png,2,22,electric,fairy
703,carbink,703.png,3,57,rock,fairy
704,goomy,704.png,3,28,dragon,
705,sliggoo,705.png,8,175,dragon,
706,goodra,706.png,20,1505,dragon,
707,klefki,707.png,2,30,steel,fairy
708,phantump,708.png,4,70,ghost,grass
709,trevenant,709.png,15,710,ghost,grass
710,pumpkaboo-average,710.png,4,50,ghost,grass
711,gourgeist-average,711.png,9,125,ghost,grass
712,bergmite,712.png,10,995,ice,
713,avalugg,713.png,20,5050,ice,
714,noibat,714.png,5,80,flying,dragon
715,noivern,715.png,15,850,flying,dragon
716,xerneas,716.png,30,2150,fairy,
717,yveltal,717.png,58,2030,dark,flying
718,zygarde,718.png,50,3050,dragon,ground
719,diancie,719.png,7,88,rock,fairy
720,hoopa,720.png,5,90,psychic,ghost
721,volcanion,721.png,17,1950,fire,water
722,rowlet,722.png,3,15,grass,flying
723,dartrix,723.png,7,160,grass,flying
724,decidueye,724.png,16,366,grass,ghost
725,litten,725.png,4,43,fire,
726,torracat,726.png,7,250,fire,
727,incineroar,727.png,18,830,fire,dark
728,popplio,728.png,4,75,water,
729,brionne,729.png,6,175,water,
730,primarina,730.png,18,440,water,fairy
731,pikipek,731.png,3,12,normal,flying
732,trumbeak,732.png,6,148,normal,flying
733,toucannon,733.png,11,260,normal,flying
734,yungoos,734.png,4,60,normal,
735,gumshoos,735.png,7,142,normal,
736,grubbin,736.png,4,44,bug,
737,charjabug,737.png,5,105,bug,electric
738,vikavolt,738.png,15,450,bug,electric
739,crabrawler,739.png,6,70,fighting,
740,crabominable,740.png,17,1800,fighting,ice
741,oricorio-baile,741.png,6,34,fire,flying
742,cutiefly,742.png,1,2,bug,fairy
743,ribombee,743.png,2,5,bug,fairy
744,rockruff,744.png,5,92,rock,
745,lycanroc-midday,745.png,8,250,rock,
746,wishiwashi-solo,746.png,2,3,water,
747,mareanie,747.png,4,80,poison,water
748,toxapex,748.png,7,145,poison,water
749,mudbray,749.png,10,1100,ground,
750,mudsdale,750.png,25,9200,ground,
751,dewpider,751.png,3,40,water,bug
752,araquanid,752.png,18,820,water,bug
753,fomantis,753.png,3,15,grass,
754,lurantis,754.png,9,185,grass,
755,morelull,755.png,2,15,grass,fairy
756,shiinotic,756.png,10,115,grass,fairy
757,salandit,757.png,6,48,poison,fire
758,salazzle,758.png,12,222,poison,fire
759,stufful,759.png,5,68,normal,fighting
760,bewear,760.png,21,1350,normal,fighting
761,bounsweet,761.png,3,32,grass,
762,steenee,762.png,7,82,grass,
763,tsareena,763.png,12,214,grass,
764,comfey,764.png,1,3,fairy,
765,oranguru,765.png,15,760,normal,psychic
766,passimian,766.png,20,828,fighting,
767,wimpod,767.png,5,120,bug,water
768,golisopod,768.png,20,1080,bug,water
769,sandygast,769.png,5,700,ghost,ground
770,palossand,770.png,13,2500,ghost,ground
771,pyukumuku,771.png,3,12,water,
772,type-null,772.png,19,1205,normal,
773,silvally,773.png,23,1005,normal,
774,minior-red-meteor,774.png,3,400,rock,flying
775,komala,775.png,4,199,normal,
776,turtonator,776.png,20,2120,fire,dragon
777,togedemaru,777.png,3,33,electric,steel
778,mimikyu-disguised,778.png,2,7,ghost,fairy
779,bruxish,779.png,9,190,water,psychic
780,drampa,780.png,30,1850,normal,dragon
781,dhelmise,781.png,39,2100,ghost,grass
782,jangmo-o,782.png,6,297,dragon,
783,hakamo-o,783.png,12,470,dragon,fighting
784,kommo-o,784.png,16,782,dragon,fighting
785,tapu-koko,785.png,18,205,electric,fairy
786,tapu-lele,786.png,12,186,psychic,fairy
787,tapu-bulu,787.png,19,455,grass,fairy
788,tapu-fini,788.png,13,212,water,fairy
789,cosmog,789.png,2,1,psychic,
790,cosmoem,790.png,1,9999,psychic,
791,solgaleo,791.png,34,2300,psychic,steel
792,lunala,792.png,40,1200,psychic,ghost
793,nihilego,793.png,12,555,rock,poison
794,buzzwole,794.png,24,3336,bug,fighting
795,pheromosa,795.png,18,250,bug,fighting
796,xurkitree,796.png,38,1000,electric,
797,celesteela,797.png,92,9999,steel,flying
798,kartana,798.png,3,1,grass,steel
799,guzzlord,799.png,55,8880,dark,dragon
800,necrozma,800.png,24,2300,psychic,
801,magearna,801.png,10,805,steel,fairy
802,marshadow,802.png,7,222,fighting,ghost
803,poipole,803.png,6,18,poison,
804,naganadel,804.png,36,1500,poison,dragon
805,stakataka,805.png,55,8200,rock,steel
806,blacephalon,806.png,18,130,fire,ghost
807,zeraora,807.png,15,445,electric,
